icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD10,J80,J80,ards,Acute respiratory distress syndrome
DIAG-ICD9,444,444.09,arterial_thromb,Other arterial embolism and thrombosis of abdominal aorta
DIAG-ICD9,444,444.1,arterial_thromb,Embolism and thrombosis of thoracic aorta
DIAG-ICD9,444,444.21,arterial_thromb,Arterial embolism and thrombosis of upper extremity
DIAG-ICD9,444,444.22,arterial_thromb,Arterial embolism and thrombosis of lower extremity
DIAG-ICD9,444,444.81,arterial_thromb,Embolism and thrombosis of iliac artery
DIAG-ICD9,444,444.89,arterial_thromb,Embolism and thrombosis of other specified artery
DIAG-ICD9,444,444.9,arterial_thromb,Embolism and thrombosis of unspecified artery
DIAG-ICD9,445,445.01,arterial_thromb,Atheroembolism of upper extremity
DIAG-ICD9,445,445.02,arterial_thromb,Atheroembolism of lower extremity
DIAG-ICD9,445,445.81,arterial_thromb,Atheroembolism of kidney
DIAG-ICD9,445,445.89,arterial_thromb,Atheroembolism of other site
DIAG-ICD10,I740,I740.1,arterial_thromb,Saddle embolus of abdominal aorta
DIAG-ICD10,I740,I740.9,arterial_thromb,Other arterial embolism and thrombosis of abdominal aorta
DIAG-ICD10,I741,I741.0,arterial_thromb,Embolism and thrombosis of unspecified parts of aorta
DIAG-ICD10,I741,I741.1,arterial_thromb,Embolism and thrombosis of thoracic aorta
DIAG-ICD10,I741,I741.9,arterial_thromb,Embolism and thrombosis of other parts of aorta
DIAG-ICD10,I742,I742,arterial_thromb,Embolism and thrombosis of arteries of the upper extremities
DIAG-ICD10,I743,I743,arterial_thromb,Embolism and thrombosis of arteries of the lower extremities
DIAG-ICD10,I744,I744,arterial_thromb,"Embolism and thrombosis of arteries of extremities, unspecified"
DIAG-ICD10,I745,I745,arterial_thromb,Embolism and thrombosis of iliac artery
DIAG-ICD10,I748,I748,arterial_thromb,Embolism and thrombosis of other arteries
DIAG-ICD10,I749,I749,arterial_thromb,Embolism and thrombosis of unspecified artery
DIAG-ICD10,I7501,I7501.1,arterial_thromb,Atheroembolism of right upper extremity
DIAG-ICD10,I7501,I7501.2,arterial_thromb,Atheroembolism of left upper extremity
DIAG-ICD10,I7501,I7501.3,arterial_thromb,Atheroembolism of bilateral upper extremities
DIAG-ICD10,I7501,I7501.9,arterial_thromb,Atheroembolism of unspecified upper extremity
DIAG-ICD10,I7502,I7502.1,arterial_thromb,Atheroembolism of right lower extremity
DIAG-ICD10,I7502,I7502.2,arterial_thromb,Atheroembolism of left lower extremity
DIAG-ICD10,I7502,I7502.3,arterial_thromb,Atheroembolism of bilateral lower extremities
DIAG-ICD10,I7502,I7502.9,arterial_thromb,Atheroembolism of unspecified lower extremity
DIAG-ICD10,I758,I758.1,arterial_thromb,Atheroembolism of kidney
DIAG-ICD10,I758,I758.9,arterial_thromb,Atheroembolism of other site
DIAG-ICD10,I76,I76,arterial_thromb,Septic arterial embolism
DIAG-ICD9,493,493,asthma,"Extrinsic asthma, unspecified"
DIAG-ICD9,493,493.01,asthma,Extrinsic asthma with status asthmaticus
DIAG-ICD9,493,493.02,asthma,Extrinsic asthma with (acute) exacerbation
DIAG-ICD9,493,493.1,asthma,"Intrinsic asthma, unspecified"
DIAG-ICD9,493,493.11,asthma,Intrinsic asthma with status asthmaticus
DIAG-ICD9,493,493.12,asthma,Intrinsic asthma with (acute) exacerbation
DIAG-ICD9,493,493.2,asthma,"Chronic obstructive asthma, unspecified"
DIAG-ICD9,493,493.21,asthma,Chronic obstructive asthma with status asthmaticus
DIAG-ICD9,493,493.22,asthma,Chronic obstructive asthma with (acute) exacerbation
DIAG-ICD9,493,493.81,asthma,Exercise induced bronchospasm
DIAG-ICD9,493,493.82,asthma,Cough variant asthma
DIAG-ICD9,493,493.9,asthma,"Asthma, unspecified type, unspecified"
DIAG-ICD9,493,493.91,asthma,"Asthma, unspecified type, with status asthmaticus"
DIAG-ICD9,493,493.92,asthma,"Asthma, unspecified type, with (acute) exacerbation"
DIAG-ICD10,J452,J452.0,asthma,"Mild intermittent asthma, uncomplicated"
DIAG-ICD10,J452,J452.1,asthma,Mild intermittent asthma with (acute) exacerbation
DIAG-ICD10,J452,J452.2,asthma,Mild intermittent asthma with status asthmaticus
DIAG-ICD10,J453,J453.0,asthma,"Mild persistent asthma, uncomplicated"
DIAG-ICD10,J453,J453.1,asthma,Mild persistent asthma with (acute) exacerbation
DIAG-ICD10,J453,J453.2,asthma,Mild persistent asthma with status asthmaticus
DIAG-ICD10,J454,J454.0,asthma,"Moderate persistent asthma, uncomplicated"
DIAG-ICD10,J454,J454.1,asthma,Moderate persistent asthma with (acute) exacerbation
DIAG-ICD10,J454,J454.2,asthma,Moderate persistent asthma with status asthmaticus
DIAG-ICD10,J455,J455.0,asthma,"Severe persistent asthma, uncomplicated"
DIAG-ICD10,J455,J455.1,asthma,Severe persistent asthma with (acute) exacerbation
DIAG-ICD10,J455,J455.2,asthma,Severe persistent asthma with status asthmaticus
DIAG-ICD10,J4590,J4590.1,asthma,Unspecified asthma with (acute) exacerbation
DIAG-ICD10,J4590,J4590.2,asthma,Unspecified asthma with status asthmaticus
DIAG-ICD10,J4590,J4590.9,asthma,"Unspecified asthma, uncomplicated"
DIAG-ICD10,J4599,J4599.0,asthma,Exercise induced bronchospasm
DIAG-ICD10,J4599,J4599.1,asthma,Cough variant asthma
DIAG-ICD10,J4599,J4599.8,asthma,Other asthma
DIAG-ICD9,494,494,bronchiectasis,Bronchiectasis without acute exacerbation
DIAG-ICD9,494,494.1,bronchiectasis,Bronchiectasis with acute exacerbation
DIAG-ICD10,J47,J47.0,bronchiectasis,Bronchiectasis with acute lower respiratory infection
DIAG-ICD10,J47,J47.1,bronchiectasis,Bronchiectasis with (acute) exacerbation
DIAG-ICD10,J47,J47.9,bronchiectasis,"Bronchiectasis, uncomplicated"
DIAG-ICD9,285,285.21,ckd,Anemia in chronic kidney disease
DIAG-ICD9,403,403,ckd,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,403.01,ckd,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,403,403.1,ckd,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,403.11,ckd,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,403,403.9,ckd,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,403.91,ckd,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404,ckd,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.01,ckd,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.02,ckd,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404.03,ckd,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404.1,ckd,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.11,ckd,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.12,ckd,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404.13,ckd,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404.9,ckd,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.91,ckd,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,404.92,ckd,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404.93,ckd,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,585,585.1,ckd,"Chronic kidney disease, Stage I"
DIAG-ICD9,585,585.2,ckd,"Chronic kidney disease, Stage II (mild)"
DIAG-ICD9,585,585.3,ckd,"Chronic kidney disease, Stage III (moderate)"
DIAG-ICD9,585,585.4,ckd,"Chronic kidney disease, Stage IV (severe)"
DIAG-ICD9,585,585.5,ckd,"Chronic kidney disease, Stage V"
DIAG-ICD10,D63,D63.1,ckd,Anemia in chronic kidney disease
DIAG-ICD10,E082,E082.2,ckd,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
DIAG-ICD10,E092,E092.2,ckd,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E102,E102.2,ckd,Type 1 diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E112,E112.2,ckd,Type 2 diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E132,E132.2,ckd,Other specified diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,I12,I12.0,ckd,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
DIAG-ICD10,I12,I12.9,ckd,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I13,I13.0,ckd,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I131,I131.0,ckd,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I131,I131.1,ckd,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease"
DIAG-ICD10,I132,I132,ckd,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
DIAG-ICD10,N18,N18.1,ckd,"Chronic kidney disease, stage 1"
DIAG-ICD10,N18,N18.2,ckd,"Chronic kidney disease, stage 2 (mild)"
DIAG-ICD10,N18,N18.3,ckd,"Chronic kidney disease, stage 3 (moderate)"
DIAG-ICD10,N18,N18.4,ckd,"Chronic kidney disease, stage 4 (severe)"
DIAG-ICD10,N18,N18.5,ckd,"Chronic kidney disease, stage 5"
DIAG-ICD10,N18,N18.6,ckd,End stage renal disease
DIAG-ICD10,N18,N18.9,ckd,"Chronic kidney disease, unspecified"
DIAG-ICD10,O1021,O1021.1,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
DIAG-ICD10,O1021,O1021.2,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester"
DIAG-ICD10,O1021,O1021.3,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"
DIAG-ICD10,O1021,O1021.9,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
DIAG-ICD10,O1022,O1022,ckd,Pre-existing hypertensive chronic kidney disease complicating childbirth
DIAG-ICD10,O1023,O1023,ckd,Pre-existing hypertensive chronic kidney disease complicating the puerperium
DIAG-ICD10,O1031,O1031.1,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
DIAG-ICD10,O1031,O1031.2,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
